%==============================================================================
% Europa Mission Encounter File 
% Based on Original File: 21F31_MEGA_L241010_A300411_LP01_V7_ENCOUNTERS.csv 
%
% Author: Ben K. Bradley, bbradley@jpl.nasa.gov 
% Date: 23-May-2024
%
% SPK Trajectory File  : 21F31_MEGA_L241010_A300411_LP01_V7_scpse_MP.bsp 
% Body Orientation File: pck00010.tpc 
% Orbit Number File    : data_Europa_21F31_V7_LP01_orbitnumber_verA_nostr.txt 
%
%
% Note: Original C/A times and altitude have been recomputed here using
%       an ellipsoidal (2-axis) shape of each body from the PCK and recgeo.
%
%
% col 01: Encounter Body (SPICE ID) (Io=501, Europa=502, Ganymede=503, Callisto=504) 
% col 02: Encounter Number 
% col 03: Jupiter Orbit Number Encounter Falls On 
% col 04: Time of Closest Approach (TCA) (min range to body center), ET sec 
% col 05: Altitude at C/A wrt Encounter Body (km) (ellipsoidal alt) 
%
% col 06: TCA - 2days (Encounter Start), ET sec 
% col 07: Time Between Previous Apojove and TCA, days  
% col 08: Time Between TCA and Next Apojove, days  
% col 09: Encounter Duration: C/A-2d to C/A(+1)-2d, days 
%
% col 10: Local Solar Time at C/A (24h clock), hours (eg, 16.5 instead of 16:30) 
% col 11: Planetodetic Latitude of C/A, deg 
% col 12: East Longitude of C/A, deg [0,360] 
% col 13: Planetocentric Latitude of C/A, deg 
% col 14: Side of C/A Passage: 1=Jovian, 2=Anti-Jovian 
% col 15: True anomaly of encounter body's orbit around Jupiter at TCA, deg [0,360] 
% col 16: Jupiter Magnetic System III latitude of S/C at TCA, deg 
% col 17: Jupiter Magnetic System III longitude of S/C at TCA, deg [0,360] 
% col 18: Jupiter System III longitude of S/C at TCA, deg [0,360] 
%
% col 19: Time of Perijove wrt Encounter C/A, seconds (NaN if no PJ within 30 hrs of TCA)
% col 20: Perijove Distance from Jupiter, Rj 
% col 21: SEP Angle at TCA (Sun-Earth-Probe), deg 
% col 22: Sub-S/C Ground Speed at C/A, km/s 
% col 23: Jupiter Local Solar Time at C/A (24h clock), hours (eg, 16.5 instead of 16:30) 
%
% col 24: Jupiter Range at Encounter C/A, RJ 
% col 25: Solar Phase Angle at C/A with Encounter Body, degrees
% col 26: Inbound Solar Phase Angle at 40k km Altitude, degrees
% col 27: Outbound Solar Phase Angle at 40k km Altitude, degrees
%
% col 28: Earth Range, au 
% col 29: Sun Range, au 
%
% col 30: S/C Orbit Inclination wrt Jupiter Equator after C/A, deg 
% col 31: Encounter Body Revolutions, # revs 
% col 32: Spacecraft Revolutions, # revs 
% col 33: Inbound vs. Outbound Flyby (0 = outbound, 1 = inbound) (wrt Perijove)
%
%
% col 34: Source of Predicted C/A OD Uncertainty Values (1 = Nav generated file, 0 = made up by MP) 
% col 35: Predicted RADIAL Position C/A OD Uncertainty (3-sigma), km 
% col 36: Predicted ALONG-TRACK Position C/A OD Uncertainty (3-sigma), km 
% col 37: Predicted CROSS-TRACK Position C/A OD Uncertainty (3-sigma), km 
%
% col 38: Source of Reconstructed C/A OD Uncertainty Values (1 = Nav generated file, 0 = made up by MP) 
% col 39: Reconstructed RADIAL Position C/A OD Uncertainty (3-sigma), km 
% col 40: Reconstructed ALONG-TRACK Position C/A OD Uncertainty (3-sigma), km 
% col 41: Reconstructed CROSS-TRACK Position C/A OD Uncertainty (3-sigma), km 
%
% col 42: Reconstructed RADIAL Velocity C/A OD Uncertainty (3-sigma), km/s 
% col 43: Reconstructed ALONG-TRACK Velocity C/A OD Uncertainty (3-sigma), km/s 
% col 44: Reconstructed Cross-TRACK Velocity C/A OD Uncertainty (3-sigma), km/s 
%
% col 45: Angle Between the Sun and S/C+X Axis at C/A Assuming Nadir-Ram Attitude (deg) 
% col 46: Encounter Body Right Ascension (wrt Jupiter) relative to ECLIPJ2000 Frame (deg) [0,360) 
%
%
% Encounter Body ID, Encounter Number, Jupiter Orbit Number, TCA (ET sec), C/A Altitude (km), Encounter Start (TCA-2days) (ET sec), Prev Apo to CA (days), CA to Next Apo (days), Encounter Duration (days) , LST (hrs), C/A Planetodetic Latitude (deg), C/A East Longitude (deg), C/A Planetocentric Latitude (deg), C/A Side of Encounter Body, True Anomaly of Body at TCA (deg), Jupiter Magnetic Latitude at TCA (deg), Jupiter Magnetic Longitude at TCA (deg), Jupiter System III Longitude at TCA (deg), Perijove Time wrt TCA (sec), Perijove Distance (Rj), SEP Angle (deg), Sub-S/C Ground Speed (km/s), Jupiter Local Solar Time at C/A, Jupiter Range at TCA (RJ), Solar Phase Angle at TCA wrt Enc Body (deg), Inbound Solar Phase Angle at 40k km Alt (deg), Outbound Solar Phase Angle at 40k km Alt (deg), Earth Range (au), Sun Range (au), S/C Orbit Inclincation (deg), Enc Body Revolutions, S/C Revolutions, Inbound vs. Outbound Flyby (0=outbound / 1=inbound), Source of Pred OD Values (1=Nav / 0 = madeup), Pred Radial OD (1-sig) (km), Pred Along-Track OD (1-sig) (km), Pred Cross-Track OD (1-sig) (km), Source of Recon OD Values (1=Nav / 0 = madeup), Recon Radial OD (1-sig) (km), Recon Along-Track OD (1-sig) (km), Recon Cross-Track OD (1-sig) (km), Recon Radial Vel OD (1-sig) (km), Recon Along-Track Vel OD (1-sig) (km), Recon Cross-Track Vel OD (1-sig) (km), Angle Between Sun and S/C+X at C/A (deg), Enc Body Right Ascension (ECLIPJ2000 wrt Jup) (deg)
% END_OF_HEADER ===============================================================
503, 00, 00,    955344247.782, 202.800,    955171447.782, 0.5000000, 101.4847609, 202.8647016, 15.464167, -1.042664, 246.232478, -1.042664, 2, 24.714018, 1.657972, 77.822087, 77.691590, 54530.88, 11.25901, 144.41388, 8.44135, 10.9056, 14.971, 51.9698, 37.4480, 139.6759, 4.549515, 5.395882, 3.410, 28.35, 1.35, 1, 1, NaN, NaN, NaN, 1, NaN, NaN, NaN, NaN, NaN, NaN, 82.97799, 33.210641 
503, 01, 01,    972871758.885, 250.000,    972698958.885, 101.3799509, 31.4059031, 64.4028138, 1.093889, 28.038259, 278.687128, 28.038259, 1, 167.167645, -8.550703, 4.866374, 4.276024, -64364.85, 10.31241, 24.34600, 8.01004, 18.3619, 15.003, 150.5561, 76.6162, 105.8296, 6.241907, 5.352833, 1.480, 9.00, 1.00, 0, 1, NaN, NaN, NaN, 1, NaN, NaN, NaN, NaN, NaN, NaN, 65.04970, 160.857366 
503, 02, 02,    978436162.062, 882.856,    978263362.062, 32.9969115, 17.0244891, 35.7695016, 0.382222, 14.746597, 272.493502, 14.746597, 1, 176.468610, 5.055356, 99.803114, 99.892616, -69718.28, 9.51712, 26.65525, 6.55466, 18.0625, 15.009, 166.9610, 87.2874, 97.9922, 6.193865, 5.333362, 0.710, 5.00, 1.00, 0, 1, NaN, NaN, NaN, 1, NaN, NaN, NaN, NaN, NaN, NaN, 78.14833, 161.394536 
503, 03, 03,    981526647.696, 4037.869,    981353847.696, 18.7450206, 13.1050570, 27.3496910, 23.953333, 7.083901, 269.056711, 7.083901, 1, 186.944581, -5.161393, 281.131022, 281.216938, -73946.09, 8.81247, 56.10030, 3.39593, 17.8717, 15.004, 175.7916, 98.7275, 97.1776, 5.808731, 5.321997, 0.510, 3.82, 0.86, 0, 1, NaN, NaN, NaN, 1, NaN, NaN, NaN, NaN, NaN, NaN, 85.86345, 161.192231 
502, 01, 04,    983889661.003, 628.975,    983716861.003, 14.2446341, 10.2404851, 20.4744328, 22.480833, 4.894331, 302.566854, 4.880565, 1, 24.193957, 8.519852, 180.723418, 180.190640, -22244.85, 8.41494, 79.68676, 4.68417, 14.2508, 9.291, 157.1145, 114.1425, 68.1076, 5.397039, 5.309906, 0.440, 5.76, 0.76, 0, 1, 4.55676, 3.02565, 4.23117, 1, 0.02968, 0.06705, 0.11924, 8.13500e-06, 2.34930e-06, 2.77046e-05, 87.86745, 109.266906 
502, 02, 05,    985658652.612, 276.011,    985485852.612, 10.2339548, 8.0598191, 16.7583147, 12.567500, 1.965527, 239.972682, 1.958911, 2, 314.546363, -3.908333, 270.795125, 270.841646, 28073.61, 8.06400, 98.23817, 5.61165,  8.4347, 9.338, 9.4940, 81.0231, 98.4509, 5.068659, 5.304356, 0.490, 4.72, 1.41, 1, 1, 0.39798, 0.64224, 2.88495, 1, 0.03621, 0.02228, 0.02755, 2.09023e-06, 2.00279e-06, 1.85585e-05, 85.81086, 23.646587 
503, 04, 06,    987106571.145, 2603.426,    986933771.145, 8.6984973, 8.9222253, 17.8520006, 11.987222, 0.063857, 85.077536, 0.063857, 1, 195.107398, 3.155673, 229.369239, 228.845233, -83160.14, 8.06325, 114.32960, 3.99174, 18.1269, 14.998, 2.8665, 84.6447, 84.3534, 4.809461, 5.301789, 0.460, 2.50, 0.50, 0, 1, NaN, NaN, NaN, 1, NaN, NaN, NaN, NaN, NaN, NaN, 87.13747, 170.790972 
503, 05, 07,    988648984.184, 3015.628,    988476184.184, 8.9297775, 13.5702216, 26.3476715, 23.832500, 2.963569, 86.070979, 2.963569, 1, 19.389699, -9.461301, 346.802949, 346.414107, 76128.26, 9.24116, 131.95604, 3.69422,  5.9236, 14.945, 177.4829, 98.6456, 93.6407, 4.569050, 5.295810, 0.560, 3.68, 1.27, 1, 1, NaN, NaN, NaN, 1, NaN, NaN, NaN, NaN, NaN, NaN, 89.75200, 349.194980 
502, 03, 08,    990925423.315, 49.773,    990752623.315, 12.7774535, 10.5223714, 21.2928320, 22.460000, -45.064381, 333.600452, -44.954117, 1, 58.980901, 7.956411, 186.431800, 185.865894, -7453.19, 9.24150, 159.65905, 4.79919, 12.1858, 9.327, 128.6507, 107.9467, 68.3660, 4.320658, 5.282406, 1.920, 6.00, 1.00, 0, 1, 0.59961, 0.51930, 0.42087, 1, 0.02032, 0.02855, 0.01829, 1.29846e-05, 4.21206e-06, 7.08829e-06, 134.93407, 84.917586 
502, 04, 09,    992765125.247, 49.999,    992592325.247, 10.7704750, 10.5571800, 21.2984346, 12.120000, -62.516091, 181.662568, -62.425714, 2, 72.609479, -8.874534, 8.959534, 8.283666, -9495.70, 9.24261, 177.30075, 4.70225, 11.9786, 9.372, 60.3910, 112.7231, 70.1165, 4.260092, 5.275164, 4.170, 6.00, 1.00, 0, 1, 0.52599, 0.92226, 0.71070, 1, 0.03204, 0.05725, 0.01870, 1.25928e-05, 3.97094e-06, 8.66695e-06, 142.41641, 83.564585 
