Detection ?	Observer	Start Date (mm/dd/yyyy)	Start Time (UTC)	Total Exposure (s)	Min true anomaly 	Max true anomaly	Comment on methods	Reference		Encounter	Start (ISO)					*Yellow highlight means that the finding has been contested by at least one paper
No	HST	10/5/99	8:39:00	9360	343	13	Limb observation of hydrogen Lyman-alpha and oxygen OI 130.4 and 135.6-nanometer (emission)	"Roth et al., 2014, 2016"			1999-10-05T08:39:00					
No	HST	11/8/12	20:41:00	10980	289	318	Limb observation of hydrogen Lyman-alpha and oxygen OI 130.4 and 135.6-nanometer (emission)	"Roth et al., 2014, 2016"			2012-11-08T20:41:00					
No	HST	12/30/12	18:49:00	9840	185	218	Limb observation of hydrogen Lyman-alpha and oxygen OI 130.4 and 135.6-nanometer (emission)	"Roth et al., 2014, 2016"			2012-12-30T18:49:00					
No	HST	12/22/13	6:58:00	1473.88	238.91		Direct imaging of Europa's limb when transiting in front of Jupiter (absorbtion)	"Sparks et al., 2016"			2013-12-22T06:58:00					
No	HST	1/22/14	14:02:00	11004			Limb observation of hydrogen Lyman-alpha and oxygen OI 130.4 and 135.6-nanometer (emission)	"Roth et al., 2014b, 2016"			2014-01-22T14:02:00					
Yes	HST	1/26/14	18:05:00	2023.24	260.08		Direct imaging of Europa's limb when transiting in front of Jupiter (absorbtion)	"Sparks et al., 2016"			2014-01-26T18:05:00					
No	HST	2/2/14	8:19:00	11004			Limb observation of hydrogen Lyman-alpha and oxygen OI 130.4 and 135.6-nanometer (emission)	"Roth et al., 2014b, 2016"			2014-02-02T08:19:00					
No	HST	2/27/14	19:57:00	2507.19	296.56		Direct imaging of Europa's limb when transiting in front of Jupiter (absorbtion)	"Sparks et al., 2016"			2014-02-27T19:57:00					
Yes	HST	3/17/14	11:47:00	2389.45	296.83		Direct imaging of Europa's limb when transiting in front of Jupiter (absorbtion)	"Sparks et al., 2016"			2014-03-17T11:47:00					
No	HST	3/24/14	12:45:00	2232.8	295.03		Direct imaging of Europa's limb when transiting in front of Jupiter (absorbtion)	"Sparks et al., 2016"			2014-03-24T12:45:00					
Yes	HST	4/4/14	5:20:00	2200.41	310.31		Direct imaging of Europa's limb when transiting in front of Jupiter (absorbtion)	"Sparks et al., 2016"			2014-04-04T05:20:00					
